rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
1124;j;TRUE;0;180;mov;switch;incongruent
1245;f;TRUE;180;180;or;switch;congruent
1586;f;TRUE;0;180;or;repetition;incongruent
1031;j;TRUE;0;0;mov;switch;congruent
1133;j;TRUE;0;0;or;switch;congruent
1437;j;FALSE;0;180;or;repetition;incongruent688
1005;j;TRUE;0;0;or;switch;congruent
996;f;TRUE;180;180;or;repetition;congruent
720;j;TRUE;0;180;mov;switch;incongruent
584;f;TRUE;180;180;mov;repetition;congruent
1236;j;FALSE;0;180;or;switch;incongruent
895;f;FALSE;0;0;or;repetition;congruent
1202;j;TRUE;0;0;or;repetition;congruent
986;j;TRUE;180;0;or;repetition;incongruent
989;f;TRUE;180;180;or;repetition;congruent
839;j;TRUE;0;0;mov;switch;congruent
808;j;TRUE;0;180;mov;repetition;incongruent
1287;f;TRUE;180;180;or;switch;congruent
1036;f;TRUE;180;180;or;repetition;congruent
925;f;TRUE;180;180;mov;switch;congruent
1057;j;TRUE;0;0;or;switch;congruent
1321;j;TRUE;0;0;mov;switch;congruent
1245;j;TRUE;180;0;or;switch;incongruent
1234;f;TRUE;180;180;or;repetition;congruent
949;j;TRUE;0;0;mov;switch;congruent
882;j;TRUE;0;0;mov;repetition;congruent
683;f;TRUE;180;0;mov;repetition;incongruent
640;f;TRUE;180;180;mov;repetition;congruent
1258;j;FALSE;0;180;or;switch;incongruent
996;j;TRUE;180;0;or;repetition;incongruent
948;f;TRUE;0;180;or;repetition;incongruent
741;f;TRUE;180;180;mov;switch;congruent
1129;f;FALSE;0;0;or;switch;congruent
868;f;TRUE;180;180;or;repetition;congruent
825;j;TRUE;0;0;or;repetition;congruent
588;f;TRUE;180;0;mov;switch;incongruent
1091;j;FALSE;180;180;or;switch;congruent
790;f;TRUE;180;180;or;repetition;congruent
914;j;TRUE;0;0;or;repetition;congruent
1382;j;TRUE;180;0;or;repetition;incongruent
1008;f;TRUE;0;180;or;repetition;incongruent
818;j;FALSE;180;180;or;repetition;congruent
1026;j;TRUE;0;0;mov;switch;congruent
1019;f;TRUE;180;180;or;switch;congruent
865;j;FALSE;180;0;mov;switch;incongruent
1552;f;TRUE;180;180;or;switch;congruent
923;j;TRUE;180;0;or;repetition;incongruent
1320;j;TRUE;0;0;or;repetition;congruent
797;j;TRUE;180;0;or;repetition;incongruent
921;f;TRUE;180;0;mov;switch;incongruent
1522;j;FALSE;0;180;or;switch;incongruent
1626;j;TRUE;0;180;mov;switch;incongruent
757;j;TRUE;0;0;mov;repetition;congruent
1691;f;TRUE;0;180;or;switch;incongruent
1635;j;FALSE;180;0;mov;switch;incongruent
1881;j;TRUE;0;0;or;switch;congruent
960;j;TRUE;0;180;mov;switch;incongruent
768;j;TRUE;0;0;mov;repetition;congruent
1661;f;TRUE;180;180;or;switch;congruent
1072;f;TRUE;180;0;mov;switch;incongruent
878;f;TRUE;180;180;mov;repetition;congruent
768;j;TRUE;0;180;mov;repetition;incongruent
705;f;TRUE;180;180;mov;repetition;congruent
1439;f;TRUE;0;180;or;switch;incongruent
756;j;TRUE;0;180;mov;switch;incongruent
1511;j;FALSE;0;180;or;switch;incongruent
1302;j;TRUE;0;180;mov;switch;incongruent
1040;j;TRUE;0;0;mov;repetition;congruent
858;f;TRUE;180;0;mov;repetition;incongruent
809;f;TRUE;180;180;mov;repetition;congruent
-1;;FALSE;0;0;or;switch;congruent
